HBC,TSE,10.14,10
HBC,TSE,11.685,100
HCG,TSE,16.9,50
SIS,TSE,15.9,100
HBC,TSE,11.98,100
CASH,IN-DIV,2.63
PYPL,NASDAQ,58.417,15
SQ,NYSE,26.49,20
KIN,NASDAQ,7.745,45
SIGM,NASDAQ,6.195,45
ALDX,NASDAQ,4.945,45
FB,NASDAQ,164.05,4
GOOGL,NASDAQ,969,2
AMZN,NASDAQ,988,1
GOOGL,NASDAQ,930,1
AMZN,NASDAQ,966.909,1
SIS,TSE,-12.6,100
GOOGL,NASDAQ,-933.7,2
CASH,OUT,1250
AAPL,NASDAQ,162.75,10
CASH,OUT,1637.45
ALDX,NASDAQ,-4.15,45
CASH,OUT,399.48
HCG,TSE,-13.4,50
HBC,TSE,-13,100
CASH,OUT,660.05
EGO,NYSE,2.3,300
ALDX,NASDAQ,7.85,100
CASH,OUT,1290.05
ALDX,NASDAQ,7.1,100
AMZN,NASDAQ,-942.5,2
SQ,NYSE,-28.25,20
HBC,TSE,-13.4,110
GAIN,NASDAQ,9.478,100
